plot_size,date_surveyed,date_entered,botanist,site,plot,species_original,cover,species,notes,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,BOUCUR,1,BOUCUR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,BROINE,0.3,BROINE,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,CENSTO,15,CENSTO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,DIGCOG,0.3,DIGCOG,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,ELYREP,4,ELYREP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,ERIANN,0.3,ERISPP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,HYPPER,0.3,HYPPER,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,OXASTR,0.1,OXASTR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,PLALAN,12,PLALAN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,POAPRA,20,POAPRA,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,RATPIN,1,RATPIN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,RUBFLA,35,RUBFLA,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,RUMACL,0.1,RUMACL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,SCHSCO,5,SCHSCO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,1,SYMPIL,0.3,SYMPIL,,,
1,2015-09-16,,NA,Lux Arbor,2,ACHMIL,1,ACHMIL,,,
1,2015-09-16,,NA,Lux Arbor,2,CENSTO,3,CENSTO,,,
1,2015-09-16,,NA,Lux Arbor,2,DIGISH,50,DIGSPP,,,
1,2015-09-16,,NA,Lux Arbor,2,HYPPER,1,HYPPER,,,
1,2015-09-16,,NA,Lux Arbor,2,OXASPP,2,OXASTR,,,
1,2015-09-16,,NA,Lux Arbor,2,PANCAP,5,PANCAP,,,
1,2015-09-16,,NA,Lux Arbor,2,PLALAN,4,PLALAN,,,
1,2015-09-16,,NA,Lux Arbor,2,RUMACE,0.3,RUMACE,,,
1,2015-09-16,,NA,Lux Arbor,2,TAROFF,0.2,TAROFF,,,
1,2016-08-30,,NA,Lux Arbor,2,ACHMIL,14,ACHMIL,,,
1,2016-08-30,,NA,Lux Arbor,2,CENSTO,16,CENSTO,Photo 1544,,
1,2016-08-30,,NA,Lux Arbor,2,DIG,32,DIGSPP,,,
1,2016-08-30,,NA,Lux Arbor,2,OXASPP,0.1,OXASTR,,,
1,2016-08-30,,NA,Lux Arbor,2,PANCAP,5,PANCAP,,,
1,2016-08-30,,NA,Lux Arbor,2,PLALAN,16,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,2,POAPRA,1,POAPRA,,,
1,2016-08-30,,NA,Lux Arbor,2,SETSPP,0.05,SETSPP,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,ACHMIL,9,ACHMIL,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,CENSTO,20,CENSTO,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,DIGCOG,12,DIGCOG,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,ELYREP,8,ELYREP,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,PLALAN,12,PLALAN,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,RUMACE,12,RUMACE,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,2,TRIREP,0.6,TRIREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,ACHMIL,12,ACHMIL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,CENSTO,20,CENSTO,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,DIGISHSAN,1.5,DIGSPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,ELYREP,5,ELYREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,PANVIR,3.5,PANVIR,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,PLALAN,10,PLALAN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,POAPRA,0.2,POAPRA,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,2,RUMACL,2,RUMACL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,ACHMIL,20,ACHMIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,GENSTO,30,CENSTO,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,ELYREP,10,ELYREP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,Erigeron sp.,0.2,ERISPP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,PLALAN,20,PLALAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,POAPRA,3,POAPRA,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,2,RUMACL,1,RUMACL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,ACHMIL,0.8,ACHMIL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,BOUCUR,4,BOUCUR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,BROINE,0.3,BROINE,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,CENSTO,20,CENSTO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,DIGCOG,0.4,DIGCOG,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,ELYREP,8,ELYREP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,ERIANN,2,ERISPP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,OXASTR,2,OXASTR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,PLALAN,2,PLALAN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,POAPRA,35,POAPRA,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,RUMACL,0.4,RUMACL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,SCHSCO,20,SCHSCO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,2,SYMPIL,0.5,SYMPIL,,,
1,2015-09-16,,NA,Lux Arbor,3,ACHMIL,3,ACHMIL,sample,,
1,2015-09-16,,NA,Lux Arbor,3,CENSTO,4,CENSTO,,,
1,2015-09-16,,NA,Lux Arbor,3,DACCAR,0.2,DAUCAR,,,
1,2015-09-16,,NA,Lux Arbor,3,DIGISH,55,DIGSPP,,,
1,2015-09-16,,NA,Lux Arbor,3,ERISPP,0.2,ERISPP,,,
1,2015-09-16,,NA,Lux Arbor,3,OXASPP,0.4,OXASTR,,,
1,2015-09-16,,NA,Lux Arbor,3,PANCAN,5,PANCAP,,,
1,2015-09-16,,NA,Lux Arbor,3,PLALAN,6,PLALAN,,,
1,2015-09-16,,NA,Lux Arbor,3,RUMACE,0.4,RUMACE,,,
1,2015-09-16,,NA,Lux Arbor,3,SYMPIL,1,SYMPIL,,,
1,2015-09-16,,NA,Lux Arbor,3,VERTHA,0.3,VERTHA,,,
1,2016-08-30,,NA,Lux Arbor,3,ACHMIL,19,ACHMIL,,,
1,2016-08-30,,NA,Lux Arbor,3,CENSTO,8,CENSTO,,,
1,2016-08-30,,NA,Lux Arbor,3,DIG,13,DIGSPP,,,
1,2016-08-30,,NA,Lux Arbor,3,ELYCAN,0.4,ELYCAN,,,
1,2016-08-30,,NA,Lux Arbor,3,ERISPP,5,ERISPP,,,
1,2016-08-30,,NA,Lux Arbor,3,EUTGRA,0.4,EUTGRA,,,
1,2016-08-30,,NA,Lux Arbor,3,PANCAP,3,PANCAP,,,
1,2016-08-30,,NA,Lux Arbor,3,PLALAN,15,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,3,POTARGE,2,POTARGE,,,
1,2016-08-30,,NA,Lux Arbor,3,SYMPIL,1,SYMPIL,,,
1,2016-08-30,,NA,Lux Arbor,3,VERTHA,0.4,VERTHA,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,ACHMIL,8,ACHMIL,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,ASTPIL,0.8,ASTPIL,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,CENSTO,10,CENSTO,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,CONCAN,0.2,CONCAN,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,DIGCOG,14,DIGSPP,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,ERISPP,1,ERISPP,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,EUTGRA,0.5,EUTGRA,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,MONFIS,1,MONFIS,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,PANVIR,4,PANVIR,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,PENDIG,10,PENDIG,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,PLALAN,5,PLALAN,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,3,RUMACE,1,RUMACE,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,ACHMIL,12,ACHMIL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,CENSTO,15,CENSTO,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,DIGISHSAN,3,DIGSPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,ELYREP,1,ELYREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,Erigeron sp.,0.1,ERISPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,EUTGRA,4,EUTGRA,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,PLALAN,1,PLALAN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,POAPRA,1,POAPRA,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,RATPIN,1,RATPIN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,RUMACL,1,RUMACL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,SORNUT,2.5,SORNUT,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,3,SYMPIL,1,SYMPIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,ACHMIL,15,ACHMIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,AGRGIG,10,AGRGIG,sample,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,GENSTO,15,CENSTO,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,CONCAN,2,CONCAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,DIGCOG,1,DIGCOG,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,ELYREP,10,ELYREP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,Erigeron sp.,4,ERISPP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,EUTGRA,2,EUTGRA,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,PLALAN,3,PLALAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,POTREC,0.5,POTREC,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,RATPIN,0.5,RATPIN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,SOLCAN,6,SOLCAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,SORNUT,6,SORNUT,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,3,SYMPIL,5,SYMPIL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,ACHMIL,4,ACHMIL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,AGRGIG,4,AGRGIG,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,BOUCUR,1,BOUCUR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,CENSTO,3,CENSTO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,ELYREP,15,ELYREP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,MONFIS,15,MONFIS,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,OXASTR,0.2,OXASTR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,PANVIR,8,PANVIR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,PLALAN,2,PLALAN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,POAPRA,3,POAPRA,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,RATPIN,20,RATPIN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,RUMACL,0.1,RUMACL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,SCHSCO,3,SCHSCO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,SORNUT,15,SORNUT,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,3,SYMPIL,2,SYMPIL,,,
1,2015-09-16,,NA,Lux Arbor,4,ACHMIL,2,ACHMIL,,,
1,2015-09-16,,NA,Lux Arbor,4,CENSTO,10,CENSTO,,,
1,2015-09-16,,NA,Lux Arbor,4,DAUCAR,0.4,DAUCAR,,,
1,2015-09-16,,NA,Lux Arbor,4,DIGISC,79,DIGISC,,,
1,2015-09-16,,NA,Lux Arbor,4,OXASTR,0.01,OXASTR,,,
1,2015-09-16,,NA,Lux Arbor,4,PANCAP,1,PANCAP,,,
1,2015-09-16,,NA,Lux Arbor,4,PLALAN,3,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,4,ACHMIL,6,ACHMIL,,,
1,2016-08-30,,NA,Lux Arbor,4,CENSTO,9,CENSTO,,,
1,2016-08-30,,NA,Lux Arbor,4,DAUCAR,0.05,DAUCAR,,,
1,2016-08-30,,NA,Lux Arbor,4,DIGSPP,23,DIGSPP,,,
1,2016-08-30,,NA,Lux Arbor,4,OXASPP,0.3,OXASTR,,,
1,2016-08-30,,NA,Lux Arbor,4,PANCAP,4,PANCAP,,,
1,2016-08-30,,NA,Lux Arbor,4,PLALAN,11,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,4,POTARGE,3,POTARGE,,,
1,2016-08-30,,NA,Lux Arbor,4,TRISPP,5,TRISPP,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,ACHMIL,30,ACHMIL,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,CENSTO,20,CENSTO,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,DIGISC,0.2,DIGSPP,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,ERISPP,0.2,ERISPP,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,OXASPP,0.01,OXASTR,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,PLALAN,8,PLALAN,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,POTREC,0.2,POTREC,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,SCHSCO,15,SCHSCO,,,
1,2017-08-18,2018-01-08,Anna M. Groves,Lux Arbor,4,TRIREP,6,TRIREP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,ACHMIL,25,ACHMIL,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,ANDGER,2,ANDGER,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,BOUCUR,1,BOUCUR,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,CENSTO,20,CENSTO,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,DIGISHSAN,25,DIGSPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,Erigeron sp.,0.5,ERISPP,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,PANVIR,0.5,PANVIR,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,PLALAN,2,PLALAN,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,SCHSCO,5,SCHSCO,,,
1,2018-07-25,2018-11-30,Eric G. Behrens,Lux Arbor,4,SORNUT,2.5,SORNUT,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,ACHMIL,12,ACHMIL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,BOUCUR,0.5,BOUCUR,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,GENSTO,15,CENSTO,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,CONCAN,2,CONCAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,DIGCOG,25,DIGCOG,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,ELYREP,4,ELYREP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,Erigeron sp.,4,ERISPP,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,FALCON,0.1,FALCON,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,JUNSPP,1,JUNTEN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,PANVIR,2.5,PANVIR,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,PLALAN,6,PLALAN,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,POAPRA,1,POAPRA,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,POTREC,1,POTREC,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,RUMACL,0.1,RUMACL,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,SCHSCO,15,SCHSCO,,,
1,2019-07-24,2025-06-20,Eric G. Behrens,Lux Arbor,4,SORNUT,4,SORNUT,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,ACHMIL,0.8,ACHMIL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,ANDGER,4,ANDGER,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,BOUCUR,5,BOUCUR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,CENSTO,1,CENSTO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,ELYREP,2,ELYREP,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,HYPPER,0.5,HYPPER,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,JUNTEN,0.4,JUNTEN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,OXASTR,0.2,OXASTR,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,PLALAN,0.7,PLALAN,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,POAPRA,3,POAPRA,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,RUMACL,0.2,RUMACL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,SCHSCO,45,SCHSCO,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,SOLALT,2,SOLALT,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,SORNUT,30,SORNUT,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,SYMPIL,2,SYMPIL,,,
1,2025-07-15,2025-08-06,Lars A. Brudvig,Lux Arbor,4,TRIREP,0.03,TRIREP,,,
1,2015-09-16,,NA,Lux Arbor,5,CENSTO,2,CENSTO,,,
1,2015-09-16,,NA,Lux Arbor,5,DAUCAR,1,DAUCAR,,,
1,2015-09-16,,NA,Lux Arbor,5,DIGISC,75,DIGISC,,,
1,2015-09-16,,NA,Lux Arbor,5,PANCAP,7,PANCAP,,,
1,2015-09-16,,NA,Lux Arbor,5,PLALAN,10,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,5,CENSTO,9,CENSTO,,,
1,2016-08-30,,NA,Lux Arbor,5,DAUCAR,7,DAUCAR,,,
1,2016-08-30,,NA,Lux Arbor,5,DICSPPP,0.3,DICSPP,,,
1,2016-08-30,,NA,Lux Arbor,5,DIGSPPP,40,DIGSPP,,,
1,2016-08-30,,NA,Lux Arbor,5,OXASPP,0.2,OXASTR,,,
1,2016-08-30,,NA,Lux Arbor,5,PANVIR,2,PANVIR,,,
1,2016-08-30,,NA,Lux Arbor,5,PLALAN,20,PLALAN,,,
1,2016-08-30,,NA,Lux Arbor,5,POAPRA,0.2,POAPRA,,,
1,2016-08-30,,NA,Lux Arbor,5,POTARGE,0.3,POTARGE,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,5,BOUCUR,3,BOUCUR,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,5,CARSPP,5,CARSPP,,,
1,2017-08-18,2018-01-08,Lars A. Brudvig,Lux Arbor,5,CENSTO,20,CENSTO,,,
