id_plant,id_plot,name,trait_type,trait_id_try,trait_id_gift,trait_value,unit,nomenclature
Lux_35_DESILL_03,Lux_35,Desmodium illinoense,vegetative_height,3106,1.6.3,0.81,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_01,Lux_36,Desmodium illinoense,vegetative_height,3106,1.6.3,0.82,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_02,Lux_36,Desmodium illinoense,vegetative_height,3106,1.6.3,0.67,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_03,Lux_36,Desmodium illinoense,vegetative_height,3106,1.6.3,0.77,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_38_DESILL_01,Lux_38,Desmodium illinoense,vegetative_height,3106,1.6.3,0.65,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_38_DESILL_02,Lux_38,Desmodium illinoense,vegetative_height,3106,1.6.3,0.8,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_01,Lux_42,Desmodium illinoense,vegetative_height,3106,1.6.3,0.62,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_02,Lux_42,Desmodium illinoense,vegetative_height,3106,1.6.3,0.67,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_03,Lux_42,Desmodium illinoense,vegetative_height,3106,1.6.3,0.64,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_47_DESILL_01,Lux_47,Desmodium illinoense,vegetative_height,3106,1.6.3,0.55,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_56_DESILL_01,Lux_56,Desmodium illinoense,vegetative_height,3106,1.6.3,0.51,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
KBS_1_SOLSPE,KBS,Solidago speciosa,generative_height,3107,NA,0.91,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
KBS_2_SOLSPE,KBS,Solidago speciosa,generative_height,3107,NA,0.66,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_6_DESILL_01,Lux_6,Desmodium illinoense,generative_height,3107,NA,0.97,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_6_DESILL_02,Lux_6,Desmodium illinoense,generative_height,3107,NA,0.63,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_01,Lux_9,Desmodium illinoense,generative_height,3107,NA,1.66,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_02,Lux_9,Desmodium illinoense,generative_height,3107,NA,1.65,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_03,Lux_9,Desmodium illinoense,generative_height,3107,NA,1.56,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_9_DESILL_04,Lux_9,Desmodium illinoense,generative_height,3107,NA,1.3,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_01,Lux_12,Desmodium illinoense,generative_height,3107,NA,1.42,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_02,Lux_12,Desmodium illinoense,generative_height,3107,NA,0.92,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_12_DESILL_03,Lux_12,Desmodium illinoense,generative_height,3107,NA,0.89,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_17_DESILL_01,Lux_17,Desmodium illinoense,generative_height,3107,NA,0.63,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_01,Lux_26,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_02,Lux_26,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_03,Lux_26,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_04,Lux_26,Desmodium illinoense,generative_height,3107,NA,1.09,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_26_DESILL_05,Lux_26,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_35_DESILL_01,Lux_35,Desmodium illinoense,generative_height,3107,NA,1.25,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_35_DESILL_02,Lux_35,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_35_DESILL_03,Lux_35,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_01,Lux_36,Desmodium illinoense,generative_height,3107,NA,1.51,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_02,Lux_36,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_36_DESILL_03,Lux_36,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_38_DESILL_01,Lux_38,Desmodium illinoense,generative_height,3107,NA,1.63,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_38_DESILL_02,Lux_38,Desmodium illinoense,generative_height,3107,NA,1.66,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_01,Lux_42,Desmodium illinoense,generative_height,3107,NA,NA,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_02,Lux_42,Desmodium illinoense,generative_height,3107,NA,1.32,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_42_DESILL_03,Lux_42,Desmodium illinoense,generative_height,3107,NA,1.15,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_47_DESILL_01,Lux_47,Desmodium illinoense,generative_height,3107,NA,1.26,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_56_DESILL_01,Lux_56,Desmodium illinoense,generative_height,3107,NA,1.06,meter,https://wfoplantlist.org/taxon/wfo-0000170302-2025-06
Lux_21_DRYARG_02,Lux_21,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.24,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_01,Lux_15,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.472,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_02,Lux_15,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.168,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_01,Lux_21,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.345,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_02,Lux_45,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.187,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_01,Lux_45,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.469,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_03,Lux_15,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.094,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_04,Lux_15,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.17,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_02,Lux_28,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.148,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_01,Lux_28,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.316,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_31_DRYARG_01,Lux_31,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.695,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_56_DRYARG_01,Lux_56,Drymocallis arguta,leaf_dry_mass_incl_petiole,55,NA,0.593,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_02,Lux_21,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.18,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_01,Lux_15,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.338,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_02,Lux_15,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.118,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_01,Lux_21,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.246,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_02,Lux_45,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.137,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_01,Lux_45,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.33,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_03,Lux_15,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.073,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_04,Lux_15,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.137,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_02,Lux_28,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.107,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_01,Lux_28,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.256,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_31_DRYARG_01,Lux_31,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.508,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_56_DRYARG_01,Lux_56,Drymocallis arguta,leaf_dry_mass_excl_petiole,55,NA,0.385,gram,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_01,Lux_15,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,42.089,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_01,Lux_15,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,44.488,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_02,Lux_15,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,18.71,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_02,Lux_15,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,19.972,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_03,Lux_15,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,12.324,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_03,Lux_15,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,13.161,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_04,Lux_15,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,20.737,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_15_DRYARG_04,Lux_15,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,21.782,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_01,Lux_21,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,27.408,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_01,Lux_21,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,29.528,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_02,Lux_21,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,29.238,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_21_DRYARG_02,Lux_21,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,30.488,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_01,Lux_28,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,31.745,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_01,Lux_28,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,33.355,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_02,Lux_28,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,16.643,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_28_DRYARG_02,Lux_28,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,18.815,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_31_DRYARG_01,Lux_31,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,64.348,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_31_DRYARG_01,Lux_31,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,69.191,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_01,Lux_45,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,33.615,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_01,Lux_45,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,36.241,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_02,Lux_45,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,17.151,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_45_DRYARG_02,Lux_45,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,18.707,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_56_DRYARG_01,Lux_56,Drymocallis arguta,leaf_area_excl_petiole,3109,4.4.3,48.026,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
Lux_56_DRYARG_01,Lux_56,Drymocallis arguta,leaf_area_incl_petiole,3111,4.4.3,54.97,squareCentiMeter,https://wfoplantlist.org/taxon/wfo-0001005709-2025-06
